#Step 	 Volume 	 Move-acceptance	 Volume-acceptance
30000 	 831.777188 	 0.632420 	 0.520000
30100 	 831.516535 	 0.632440 	 0.470000
30200 	 828.962686 	 0.621600 	 0.440000
30300 	 830.355122 	 0.628220 	 0.450000
30400 	 826.557780 	 0.622260 	 0.400000
30500 	 828.469571 	 0.624820 	 0.450000
30600 	 825.756149 	 0.629760 	 0.350000
30700 	 828.377350 	 0.629720 	 0.400000
30800 	 825.950976 	 0.619920 	 0.520000
30900 	 829.721553 	 0.619180 	 0.470000
31000 	 828.341848 	 0.616800 	 0.460000
31100 	 824.664439 	 0.624400 	 0.500000
31200 	 827.371501 	 0.610380 	 0.490000
31300 	 828.666094 	 0.618460 	 0.480000
31400 	 832.460353 	 0.621860 	 0.440000
31500 	 835.315339 	 0.636860 	 0.490000
31600 	 835.982785 	 0.633860 	 0.500000
31700 	 836.474335 	 0.631180 	 0.510000
31800 	 839.759166 	 0.629000 	 0.590000
31900 	 844.526874 	 0.638100 	 0.470000
32000 	 849.276190 	 0.643640 	 0.570000
32100 	 851.160052 	 0.648520 	 0.430000
32200 	 846.004487 	 0.638340 	 0.440000
32300 	 850.613722 	 0.636440 	 0.460000
32400 	 853.233820 	 0.632800 	 0.420000
32500 	 854.246438 	 0.642720 	 0.470000
32600 	 851.327796 	 0.640380 	 0.470000
32700 	 847.910540 	 0.636140 	 0.500000
32800 	 848.087827 	 0.644460 	 0.470000
32900 	 849.198814 	 0.647380 	 0.450000
33000 	 854.275759 	 0.637800 	 0.460000
33100 	 852.160253 	 0.643080 	 0.590000
33200 	 855.004760 	 0.645300 	 0.510000
33300 	 857.562651 	 0.640780 	 0.420000
33400 	 862.858608 	 0.643960 	 0.610000
33500 	 860.106805 	 0.652460 	 0.430000
33600 	 855.925907 	 0.590060 	 0.450000
33700 	 855.668571 	 0.588580 	 0.470000
33800 	 860.507935 	 0.594920 	 0.570000
33900 	 861.851504 	 0.598940 	 0.450000
34000 	 861.232843 	 0.593680 	 0.500000
34100 	 859.219849 	 0.603020 	 0.450000
34200 	 860.608194 	 0.597480 	 0.500000
34300 	 860.678313 	 0.597420 	 0.540000
34400 	 859.325166 	 0.599180 	 0.470000
34500 	 858.877714 	 0.594480 	 0.460000
34600 	 860.889865 	 0.599260 	 0.410000
34700 	 859.816247 	 0.597860 	 0.530000
34800 	 855.710306 	 0.581660 	 0.540000
34900 	 856.413547 	 0.594300 	 0.410000
35000 	 860.919751 	 0.596820 	 0.470000
35100 	 861.177417 	 0.604640 	 0.410000
35200 	 859.909149 	 0.596580 	 0.460000
35300 	 860.995317 	 0.593100 	 0.350000
35400 	 860.872237 	 0.602800 	 0.510000
35500 	 860.277926 	 0.600240 	 0.470000
35600 	 856.553015 	 0.599860 	 0.580000
35700 	 853.605867 	 0.593020 	 0.440000
35800 	 851.010194 	 0.577980 	 0.530000
35900 	 851.240227 	 0.584440 	 0.560000
36000 	 853.073847 	 0.594700 	 0.420000
36100 	 853.515051 	 0.591420 	 0.440000
36200 	 851.730828 	 0.577080 	 0.490000
36300 	 849.367782 	 0.587160 	 0.580000
36400 	 854.046976 	 0.598580 	 0.500000
36500 	 849.455005 	 0.594840 	 0.580000
36600 	 847.968659 	 0.590940 	 0.450000
36700 	 850.572418 	 0.594100 	 0.440000
36800 	 846.564546 	 0.583500 	 0.490000
36900 	 843.668316 	 0.579320 	 0.500000
37000 	 845.920016 	 0.574460 	 0.420000
37100 	 846.996685 	 0.577600 	 0.470000
37200 	 842.630081 	 0.586080 	 0.500000
37300 	 845.906710 	 0.587040 	 0.550000
37400 	 845.642183 	 0.584800 	 0.500000
37500 	 845.822810 	 0.578480 	 0.440000
37600 	 844.010155 	 0.581740 	 0.450000
37700 	 844.699757 	 0.581240 	 0.460000
37800 	 841.460185 	 0.583100 	 0.430000
37900 	 844.321502 	 0.579880 	 0.600000
38000 	 843.687831 	 0.580440 	 0.460000
38100 	 842.504206 	 0.583920 	 0.430000
38200 	 837.352776 	 0.572400 	 0.430000
38300 	 838.264862 	 0.585620 	 0.460000
38400 	 836.298655 	 0.571080 	 0.470000
38500 	 841.329453 	 0.583280 	 0.540000
38600 	 839.539176 	 0.583900 	 0.440000
38700 	 836.954971 	 0.578980 	 0.530000
38800 	 833.032735 	 0.582300 	 0.500000
38900 	 830.099717 	 0.575300 	 0.470000
39000 	 828.523291 	 0.570480 	 0.420000
39100 	 831.318412 	 0.573240 	 0.460000
39200 	 826.306077 	 0.575760 	 0.520000
39300 	 824.206286 	 0.569520 	 0.430000
39400 	 826.416716 	 0.566940 	 0.490000
39500 	 822.877650 	 0.564440 	 0.390000
39600 	 825.567738 	 0.573620 	 0.480000
39700 	 823.821446 	 0.565700 	 0.420000
39800 	 823.869393 	 0.568560 	 0.500000
39900 	 822.233628 	 0.569360 	 0.500000
40000 	 819.760147 	 0.555660 	 0.430000
40100 	 817.161204 	 0.557140 	 0.450000
40200 	 818.220666 	 0.563360 	 0.570000
40300 	 821.645144 	 0.555560 	 0.420000
40400 	 825.839521 	 0.566240 	 0.510000
40500 	 823.640055 	 0.567260 	 0.570000
40600 	 821.680400 	 0.575940 	 0.430000
40700 	 821.850688 	 0.572620 	 0.410000
40800 	 825.451816 	 0.564240 	 0.420000
40900 	 829.783034 	 0.566740 	 0.460000
41000 	 828.790456 	 0.569260 	 0.550000
41100 	 827.034511 	 0.573100 	 0.460000
41200 	 831.164454 	 0.570400 	 0.440000
41300 	 832.407548 	 0.568740 	 0.460000
41400 	 829.008485 	 0.576380 	 0.440000
41500 	 834.090292 	 0.563880 	 0.470000
41600 	 832.637131 	 0.584580 	 0.480000
41700 	 831.490451 	 0.580040 	 0.520000
41800 	 832.988473 	 0.570340 	 0.430000
41900 	 832.977114 	 0.577840 	 0.450000
42000 	 829.279678 	 0.573900 	 0.470000
42100 	 827.987707 	 0.569740 	 0.450000
42200 	 828.980521 	 0.568860 	 0.450000
42300 	 829.474304 	 0.574360 	 0.590000
42400 	 829.636687 	 0.568680 	 0.500000
42500 	 827.446248 	 0.565220 	 0.510000
42600 	 828.595242 	 0.569500 	 0.450000
42700 	 831.162737 	 0.567680 	 0.450000
42800 	 832.663797 	 0.574580 	 0.430000
42900 	 833.658882 	 0.576060 	 0.440000
43000 	 832.376382 	 0.571200 	 0.480000
43100 	 836.419185 	 0.579140 	 0.500000
43200 	 837.098573 	 0.575880 	 0.400000
43300 	 833.670555 	 0.568340 	 0.470000
43400 	 834.744278 	 0.574900 	 0.520000
43500 	 833.629193 	 0.578860 	 0.500000
43600 	 833.753097 	 0.581820 	 0.470000
43700 	 833.876509 	 0.575360 	 0.480000
43800 	 836.198296 	 0.577940 	 0.490000
43900 	 834.203401 	 0.576320 	 0.470000
44000 	 834.190074 	 0.572900 	 0.470000
44100 	 832.892884 	 0.577800 	 0.430000
44200 	 830.266718 	 0.580840 	 0.450000
44300 	 829.546708 	 0.571560 	 0.490000
44400 	 826.434535 	 0.571460 	 0.430000
44500 	 826.631789 	 0.561800 	 0.390000
44600 	 826.439010 	 0.570060 	 0.490000
44700 	 827.136236 	 0.577220 	 0.460000
44800 	 828.446914 	 0.568880 	 0.480000
44900 	 826.744263 	 0.572160 	 0.500000
45000 	 826.587444 	 0.564700 	 0.470000
45100 	 826.557763 	 0.567260 	 0.440000
45200 	 830.705805 	 0.572660 	 0.460000
45300 	 831.101204 	 0.567840 	 0.420000
45400 	 827.013732 	 0.574900 	 0.470000
45500 	 824.157089 	 0.569720 	 0.530000
45600 	 829.371867 	 0.572920 	 0.500000
45700 	 831.606622 	 0.577320 	 0.520000
45800 	 835.392656 	 0.572480 	 0.440000
45900 	 836.006354 	 0.573060 	 0.590000
46000 	 835.343018 	 0.570800 	 0.560000
46100 	 833.209042 	 0.578360 	 0.510000
46200 	 834.797567 	 0.575060 	 0.460000
46300 	 834.877200 	 0.579860 	 0.550000
46400 	 835.176059 	 0.579800 	 0.530000
46500 	 836.051479 	 0.572320 	 0.390000
46600 	 836.470103 	 0.581180 	 0.540000
46700 	 837.141088 	 0.582740 	 0.440000
46800 	 837.566453 	 0.586560 	 0.500000
46900 	 833.635639 	 0.584140 	 0.430000
47000 	 835.549810 	 0.576600 	 0.440000
47100 	 833.651155 	 0.568880 	 0.530000
47200 	 833.342167 	 0.579460 	 0.440000
47300 	 833.631587 	 0.575260 	 0.500000
47400 	 829.673629 	 0.572180 	 0.560000
47500 	 827.737358 	 0.575840 	 0.490000
47600 	 827.086510 	 0.570220 	 0.490000
47700 	 823.741739 	 0.568200 	 0.510000
47800 	 825.533288 	 0.573140 	 0.450000
47900 	 828.891849 	 0.567380 	 0.610000
48000 	 827.583668 	 0.576580 	 0.480000
48100 	 824.129888 	 0.562540 	 0.550000
48200 	 825.367624 	 0.568340 	 0.420000
48300 	 825.824283 	 0.569980 	 0.470000
48400 	 818.741716 	 0.557700 	 0.480000
48500 	 819.056111 	 0.558860 	 0.500000
48600 	 818.885394 	 0.566820 	 0.490000
48700 	 818.810357 	 0.559580 	 0.380000
48800 	 819.537276 	 0.563180 	 0.500000
48900 	 818.297069 	 0.554000 	 0.430000
49000 	 815.397470 	 0.565060 	 0.370000
49100 	 817.447193 	 0.550460 	 0.420000
49200 	 818.778607 	 0.559360 	 0.550000
49300 	 819.795203 	 0.564260 	 0.580000
49400 	 822.575903 	 0.559760 	 0.490000
49500 	 824.985003 	 0.566900 	 0.480000
49600 	 824.083869 	 0.566940 	 0.460000
49700 	 826.024167 	 0.565880 	 0.420000
49800 	 823.609849 	 0.569360 	 0.510000
49900 	 821.692832 	 0.565020 	 0.440000
50000 	 823.639024 	 0.566320 	 0.470000
50100 	 825.676041 	 0.562020 	 0.480000
50200 	 826.682158 	 0.582960 	 0.510000
50300 	 828.295335 	 0.572980 	 0.490000
50400 	 826.591793 	 0.575140 	 0.480000
50500 	 825.252441 	 0.564280 	 0.420000
50600 	 825.812459 	 0.563820 	 0.610000
50700 	 827.461959 	 0.565280 	 0.500000
50800 	 832.358225 	 0.574700 	 0.510000
50900 	 831.364549 	 0.574420 	 0.400000
51000 	 827.438844 	 0.574480 	 0.480000
51100 	 827.423551 	 0.580160 	 0.450000
51200 	 828.299980 	 0.577960 	 0.480000
51300 	 831.066588 	 0.569820 	 0.520000
51400 	 830.367051 	 0.575600 	 0.550000
51500 	 832.818510 	 0.575780 	 0.430000
51600 	 836.303151 	 0.574760 	 0.550000
51700 	 834.434619 	 0.577900 	 0.520000
51800 	 838.247463 	 0.570420 	 0.500000
51900 	 836.127463 	 0.580400 	 0.480000
52000 	 839.741093 	 0.571060 	 0.530000
52100 	 839.419138 	 0.579640 	 0.470000
52200 	 837.954352 	 0.582620 	 0.550000
52300 	 835.966419 	 0.572320 	 0.600000
52400 	 833.660256 	 0.585680 	 0.440000
52500 	 832.731901 	 0.580120 	 0.420000
52600 	 835.869969 	 0.584140 	 0.490000
52700 	 837.857493 	 0.575760 	 0.520000
52800 	 839.707400 	 0.575440 	 0.510000
52900 	 838.355588 	 0.576820 	 0.480000
53000 	 837.114019 	 0.576700 	 0.500000
53100 	 839.061863 	 0.577140 	 0.640000
53200 	 837.860597 	 0.580800 	 0.480000
53300 	 838.642472 	 0.587160 	 0.580000
53400 	 837.657895 	 0.589860 	 0.420000
53500 	 836.994294 	 0.588040 	 0.520000
53600 	 844.408742 	 0.581500 	 0.380000
53700 	 844.636728 	 0.579180 	 0.480000
53800 	 848.966173 	 0.584340 	 0.450000
53900 	 849.517665 	 0.586740 	 0.490000
54000 	 846.129915 	 0.589400 	 0.360000
54100 	 844.375781 	 0.583500 	 0.400000
54200 	 846.073046 	 0.588700 	 0.440000
54300 	 845.784088 	 0.588320 	 0.560000
54400 	 843.694569 	 0.579100 	 0.520000
54500 	 844.793846 	 0.588480 	 0.490000
54600 	 844.057078 	 0.579220 	 0.440000
54700 	 843.489814 	 0.577420 	 0.570000
54800 	 842.722507 	 0.586980 	 0.420000
54900 	 843.949518 	 0.594620 	 0.400000
55000 	 843.951105 	 0.587460 	 0.520000
55100 	 841.377573 	 0.586120 	 0.530000
55200 	 838.138929 	 0.580800 	 0.520000
55300 	 835.900403 	 0.586220 	 0.470000
55400 	 834.848886 	 0.569840 	 0.490000
55500 	 833.674810 	 0.573740 	 0.430000
55600 	 832.961846 	 0.574240 	 0.500000
55700 	 833.567484 	 0.570480 	 0.430000
55800 	 831.412028 	 0.579900 	 0.420000
55900 	 835.944523 	 0.573640 	 0.390000
56000 	 837.441373 	 0.576120 	 0.410000
56100 	 840.976940 	 0.588860 	 0.460000
56200 	 841.215194 	 0.574580 	 0.440000
56300 	 840.513959 	 0.582920 	 0.510000
56400 	 838.144361 	 0.586160 	 0.460000
56500 	 837.681147 	 0.576120 	 0.450000
56600 	 840.870994 	 0.575580 	 0.440000
56700 	 840.426033 	 0.579240 	 0.350000
56800 	 841.187806 	 0.577840 	 0.550000
56900 	 839.270985 	 0.583620 	 0.450000
57000 	 837.529131 	 0.579100 	 0.430000
57100 	 836.360973 	 0.571720 	 0.460000
57200 	 838.945013 	 0.586600 	 0.460000
57300 	 833.983631 	 0.573360 	 0.390000
57400 	 832.574978 	 0.572800 	 0.520000
57500 	 833.086268 	 0.555500 	 0.410000
57600 	 834.529179 	 0.578160 	 0.480000
57700 	 830.328918 	 0.575460 	 0.530000
57800 	 834.120827 	 0.582040 	 0.530000
57900 	 835.422024 	 0.579700 	 0.440000
58000 	 833.807511 	 0.572940 	 0.520000
58100 	 834.962805 	 0.581480 	 0.360000
58200 	 834.267091 	 0.582960 	 0.550000
58300 	 837.842753 	 0.582420 	 0.590000
58400 	 841.008129 	 0.575820 	 0.490000
58500 	 842.072974 	 0.579100 	 0.440000
58600 	 844.749606 	 0.588700 	 0.540000
58700 	 845.311219 	 0.584420 	 0.490000
58800 	 843.887339 	 0.587640 	 0.520000
58900 	 843.561746 	 0.578320 	 0.480000
59000 	 845.890746 	 0.581920 	 0.500000
59100 	 847.914537 	 0.591640 	 0.470000
59200 	 847.553358 	 0.583640 	 0.310000
59300 	 843.531621 	 0.589880 	 0.540000
59400 	 845.664947 	 0.585020 	 0.630000
59500 	 843.559743 	 0.578720 	 0.480000
59600 	 845.916063 	 0.592120 	 0.530000
59700 	 845.795892 	 0.580240 	 0.490000
59800 	 843.962514 	 0.586720 	 0.580000
59900 	 843.242078 	 0.591920 	 0.640000
60000 	 851.472030 	 0.578220 	 0.490000
60100 	 854.825410 	 0.588240 	 0.620000
60200 	 857.150936 	 0.580520 	 0.540000
60300 	 857.298352 	 0.584600 	 0.550000
60400 	 853.984385 	 0.587160 	 0.550000
60500 	 856.789465 	 0.592640 	 0.550000
60600 	 856.277105 	 0.596800 	 0.580000
60700 	 857.486683 	 0.593200 	 0.530000
60800 	 856.140597 	 0.594340 	 0.600000
60900 	 853.854153 	 0.579620 	 0.590000
61000 	 855.624377 	 0.587640 	 0.550000
61100 	 860.989999 	 0.592780 	 0.580000
61200 	 860.797277 	 0.597920 	 0.490000
61300 	 860.130806 	 0.601620 	 0.600000
61400 	 858.900227 	 0.608080 	 0.500000
61500 	 859.735136 	 0.594940 	 0.480000
61600 	 861.217081 	 0.596440 	 0.580000
61700 	 861.042840 	 0.601540 	 0.440000
61800 	 861.489531 	 0.592060 	 0.660000
61900 	 860.130989 	 0.601740 	 0.510000
62000 	 863.450925 	 0.597860 	 0.430000
62100 	 868.405980 	 0.595460 	 0.600000
62200 	 872.413707 	 0.606300 	 0.500000
62300 	 868.584226 	 0.603820 	 0.470000
62400 	 862.579595 	 0.605480 	 0.480000
62500 	 861.942244 	 0.599260 	 0.520000
62600 	 864.595019 	 0.592300 	 0.580000
62700 	 863.570043 	 0.606040 	 0.560000
62800 	 864.185040 	 0.596080 	 0.500000
62900 	 862.245708 	 0.609900 	 0.530000
63000 	 861.758875 	 0.595220 	 0.450000
63100 	 856.798184 	 0.596900 	 0.400000
63200 	 856.579773 	 0.595360 	 0.490000
63300 	 858.557714 	 0.594680 	 0.490000
63400 	 861.152927 	 0.596780 	 0.490000
63500 	 861.996654 	 0.610320 	 0.520000
63600 	 865.708761 	 0.598540 	 0.590000
63700 	 866.263452 	 0.596540 	 0.500000
63800 	 863.051699 	 0.597180 	 0.500000
