#Step 	 Volume 	 Move-acceptance	 Volume-acceptance
50000 	 411.118204 	 0.614080 	 0.560000
50100 	 411.033942 	 0.606860 	 0.480000
50200 	 410.972677 	 0.609220 	 0.350000
50300 	 410.843876 	 0.610620 	 0.570000
50400 	 411.023360 	 0.612900 	 0.430000
50500 	 411.323263 	 0.603760 	 0.420000
50600 	 411.098400 	 0.608080 	 0.500000
50700 	 411.078878 	 0.608940 	 0.540000
50800 	 410.837555 	 0.621920 	 0.420000
50900 	 411.103245 	 0.609720 	 0.450000
51000 	 410.910638 	 0.611380 	 0.430000
51100 	 410.962372 	 0.611440 	 0.500000
51200 	 410.956348 	 0.609580 	 0.480000
51300 	 410.903630 	 0.600860 	 0.430000
51400 	 410.821734 	 0.606760 	 0.420000
51500 	 410.895098 	 0.615100 	 0.520000
51600 	 410.945643 	 0.617540 	 0.450000
51700 	 410.749999 	 0.610060 	 0.390000
51800 	 410.869627 	 0.599840 	 0.450000
51900 	 410.393057 	 0.602560 	 0.460000
52000 	 410.296026 	 0.599520 	 0.420000
52100 	 410.600412 	 0.593520 	 0.500000
52200 	 410.618717 	 0.605360 	 0.550000
52300 	 410.665680 	 0.604920 	 0.520000
52400 	 410.512640 	 0.603400 	 0.520000
52500 	 410.486859 	 0.597600 	 0.470000
52600 	 410.689352 	 0.593460 	 0.490000
52700 	 411.288029 	 0.603100 	 0.540000
52800 	 411.497992 	 0.603160 	 0.420000
52900 	 411.702369 	 0.614660 	 0.580000
53000 	 412.095468 	 0.605380 	 0.560000
53100 	 412.219537 	 0.618320 	 0.430000
53200 	 412.217378 	 0.616760 	 0.530000
53300 	 412.097959 	 0.619400 	 0.450000
53400 	 412.094908 	 0.621020 	 0.540000
53500 	 412.565841 	 0.620060 	 0.500000
53600 	 412.528445 	 0.620040 	 0.420000
53700 	 412.411163 	 0.610240 	 0.440000
53800 	 412.403606 	 0.619500 	 0.430000
53900 	 412.618039 	 0.619580 	 0.510000
54000 	 412.672479 	 0.615120 	 0.430000
54100 	 412.861193 	 0.630280 	 0.530000
54200 	 412.974076 	 0.627460 	 0.540000
54300 	 413.064195 	 0.630380 	 0.430000
54400 	 412.690962 	 0.620180 	 0.430000
54500 	 412.616123 	 0.616720 	 0.520000
54600 	 412.490457 	 0.614660 	 0.500000
54700 	 412.597285 	 0.619700 	 0.480000
54800 	 412.655888 	 0.621900 	 0.480000
54900 	 412.845958 	 0.614980 	 0.460000
55000 	 412.942728 	 0.615120 	 0.500000
55100 	 412.872915 	 0.624760 	 0.550000
55200 	 412.673222 	 0.616220 	 0.540000
55300 	 412.589094 	 0.613320 	 0.430000
55400 	 412.705446 	 0.620280 	 0.490000
55500 	 412.758153 	 0.612240 	 0.480000
55600 	 413.020655 	 0.623040 	 0.530000
55700 	 413.270562 	 0.624000 	 0.440000
55800 	 413.349449 	 0.626780 	 0.500000
55900 	 413.166895 	 0.625260 	 0.470000
56000 	 413.214562 	 0.633700 	 0.510000
56100 	 413.043768 	 0.621720 	 0.540000
56200 	 413.347874 	 0.627080 	 0.490000
56300 	 413.425972 	 0.627220 	 0.480000
56400 	 413.425637 	 0.614280 	 0.530000
56500 	 413.502453 	 0.621840 	 0.510000
56600 	 413.493064 	 0.612040 	 0.570000
56700 	 413.361637 	 0.615620 	 0.540000
56800 	 413.297697 	 0.621120 	 0.480000
56900 	 413.263914 	 0.620060 	 0.480000
57000 	 413.177129 	 0.623420 	 0.540000
57100 	 413.330205 	 0.611680 	 0.460000
57200 	 413.258542 	 0.620500 	 0.430000
57300 	 413.136727 	 0.614360 	 0.440000
57400 	 413.426029 	 0.618320 	 0.520000
57500 	 412.942987 	 0.622160 	 0.380000
57600 	 412.806200 	 0.615280 	 0.480000
57700 	 413.205800 	 0.617260 	 0.520000
57800 	 413.149405 	 0.619680 	 0.490000
57900 	 413.200432 	 0.617660 	 0.490000
58000 	 413.298906 	 0.623280 	 0.520000
58100 	 412.920940 	 0.621840 	 0.440000
58200 	 412.968757 	 0.620380 	 0.390000
58300 	 412.839500 	 0.626160 	 0.510000
58400 	 412.536325 	 0.614660 	 0.550000
58500 	 412.746614 	 0.618240 	 0.500000
58600 	 412.630274 	 0.619240 	 0.500000
58700 	 412.340878 	 0.615360 	 0.530000
58800 	 412.307324 	 0.612080 	 0.500000
58900 	 412.153366 	 0.617100 	 0.480000
59000 	 412.260068 	 0.615440 	 0.570000
59100 	 412.379095 	 0.614280 	 0.440000
59200 	 412.145844 	 0.608040 	 0.550000
59300 	 412.005643 	 0.616340 	 0.550000
59400 	 411.863786 	 0.617840 	 0.450000
59500 	 412.077407 	 0.619520 	 0.520000
59600 	 412.238457 	 0.613740 	 0.550000
59700 	 412.300944 	 0.617100 	 0.470000
59800 	 411.863172 	 0.607840 	 0.580000
59900 	 411.708133 	 0.607420 	 0.540000
60000 	 411.681297 	 0.611960 	 0.620000
60100 	 411.468139 	 0.609520 	 0.500000
60200 	 411.691091 	 0.606620 	 0.510000
60300 	 411.486427 	 0.608240 	 0.470000
60400 	 411.521026 	 0.607860 	 0.520000
60500 	 411.581658 	 0.614100 	 0.490000
60600 	 411.650192 	 0.617000 	 0.390000
60700 	 411.571107 	 0.621960 	 0.480000
60800 	 411.689243 	 0.613840 	 0.440000
60900 	 411.640348 	 0.613640 	 0.450000
61000 	 411.523672 	 0.616120 	 0.470000
61100 	 411.240034 	 0.623860 	 0.420000
61200 	 411.237559 	 0.610720 	 0.470000
61300 	 411.353683 	 0.613300 	 0.540000
61400 	 411.687363 	 0.616060 	 0.460000
61500 	 411.728219 	 0.616580 	 0.470000
61600 	 411.534461 	 0.615540 	 0.490000
61700 	 411.181613 	 0.608500 	 0.520000
61800 	 411.432446 	 0.611560 	 0.520000
61900 	 411.488678 	 0.611620 	 0.520000
62000 	 411.213455 	 0.610660 	 0.420000
62100 	 411.501371 	 0.612800 	 0.490000
62200 	 411.453114 	 0.613460 	 0.460000
62300 	 411.432763 	 0.623960 	 0.490000
62400 	 411.431347 	 0.609240 	 0.470000
62500 	 411.098778 	 0.608720 	 0.460000
62600 	 410.959204 	 0.614560 	 0.590000
62700 	 411.007538 	 0.612740 	 0.510000
62800 	 411.193128 	 0.609020 	 0.490000
62900 	 411.299305 	 0.602500 	 0.540000
63000 	 411.191050 	 0.599060 	 0.510000
63100 	 411.476325 	 0.614360 	 0.510000
63200 	 411.443701 	 0.613100 	 0.590000
63300 	 411.266053 	 0.614340 	 0.440000
63400 	 411.344890 	 0.603180 	 0.460000
63500 	 411.805343 	 0.615580 	 0.430000
63600 	 411.562218 	 0.611960 	 0.500000
63700 	 411.220613 	 0.608820 	 0.510000
63800 	 411.488024 	 0.608500 	 0.590000
63900 	 411.593863 	 0.616460 	 0.540000
64000 	 411.830975 	 0.618320 	 0.510000
64100 	 411.723749 	 0.606220 	 0.410000
64200 	 411.719242 	 0.612940 	 0.460000
64300 	 412.007611 	 0.613460 	 0.500000
64400 	 412.198597 	 0.607820 	 0.420000
64500 	 411.911317 	 0.607780 	 0.480000
64600 	 411.830179 	 0.616600 	 0.500000
64700 	 411.699322 	 0.618340 	 0.610000
64800 	 411.625741 	 0.611020 	 0.450000
64900 	 411.616250 	 0.601280 	 0.430000
65000 	 411.591642 	 0.613220 	 0.430000
65100 	 411.546244 	 0.614840 	 0.470000
65200 	 411.793829 	 0.602560 	 0.550000
65300 	 411.347561 	 0.614680 	 0.510000
65400 	 411.549915 	 0.612540 	 0.550000
65500 	 412.127068 	 0.621800 	 0.580000
65600 	 411.722857 	 0.608240 	 0.500000
65700 	 411.308209 	 0.613440 	 0.500000
65800 	 411.300983 	 0.609640 	 0.550000
65900 	 411.225635 	 0.626000 	 0.490000
66000 	 411.204250 	 0.618140 	 0.510000
66100 	 410.769289 	 0.612520 	 0.590000
66200 	 410.676832 	 0.612380 	 0.440000
66300 	 410.826123 	 0.616360 	 0.510000
66400 	 411.201312 	 0.616100 	 0.510000
66500 	 411.326688 	 0.614820 	 0.480000
66600 	 411.317209 	 0.613960 	 0.510000
66700 	 411.409277 	 0.609360 	 0.410000
66800 	 411.567128 	 0.603260 	 0.500000
66900 	 411.581469 	 0.615100 	 0.450000
