#Step 	 Volume 	 Move-acceptance	 Volume-acceptance
90000 	 441.805137 	 0.376120 	 0.580000
90100 	 441.846878 	 0.378420 	 0.670000
90200 	 441.632794 	 0.377700 	 0.460000
90300 	 441.653145 	 0.373580 	 0.420000
90400 	 441.584209 	 0.367620 	 0.480000
90500 	 441.666099 	 0.381960 	 0.460000
90600 	 441.419406 	 0.378980 	 0.460000
90700 	 441.453527 	 0.368940 	 0.450000
90800 	 441.430558 	 0.374020 	 0.440000
90900 	 441.455507 	 0.382360 	 0.420000
91000 	 441.568001 	 0.368520 	 0.570000
91100 	 441.567491 	 0.382020 	 0.470000
91200 	 441.580795 	 0.363360 	 0.500000
91300 	 441.476983 	 0.373660 	 0.430000
91400 	 441.495429 	 0.364800 	 0.430000
91500 	 441.509494 	 0.378020 	 0.440000
91600 	 441.385634 	 0.381240 	 0.490000
91700 	 441.357057 	 0.375180 	 0.480000
91800 	 441.426609 	 0.377980 	 0.460000
91900 	 441.297488 	 0.377000 	 0.520000
92000 	 441.301278 	 0.373940 	 0.530000
92100 	 441.107008 	 0.374940 	 0.430000
92200 	 441.089768 	 0.374340 	 0.430000
92300 	 440.938706 	 0.376260 	 0.380000
92400 	 440.994478 	 0.374480 	 0.570000
92500 	 440.950756 	 0.368980 	 0.500000
92600 	 440.961476 	 0.366760 	 0.440000
92700 	 440.964786 	 0.373560 	 0.430000
92800 	 441.078776 	 0.359060 	 0.610000
92900 	 440.980241 	 0.384400 	 0.380000
93000 	 441.155962 	 0.376180 	 0.390000
93100 	 441.206441 	 0.373220 	 0.480000
93200 	 441.137361 	 0.372860 	 0.510000
93300 	 441.166845 	 0.369520 	 0.470000
93400 	 441.236238 	 0.364620 	 0.420000
93500 	 441.280953 	 0.363180 	 0.550000
93600 	 441.218494 	 0.368060 	 0.490000
93700 	 441.362516 	 0.363120 	 0.520000
93800 	 441.289364 	 0.365400 	 0.540000
93900 	 441.094458 	 0.371600 	 0.470000
94000 	 441.139258 	 0.376580 	 0.480000
94100 	 441.119912 	 0.375800 	 0.500000
94200 	 441.162495 	 0.369800 	 0.450000
94300 	 441.360227 	 0.364320 	 0.540000
94400 	 441.477593 	 0.373160 	 0.490000
94500 	 441.637996 	 0.370840 	 0.420000
94600 	 441.406675 	 0.377680 	 0.510000
94700 	 441.603665 	 0.376860 	 0.540000
94800 	 441.396050 	 0.371820 	 0.410000
94900 	 441.253976 	 0.368660 	 0.480000
95000 	 441.459496 	 0.375260 	 0.590000
95100 	 441.644087 	 0.375740 	 0.440000
95200 	 441.539247 	 0.377400 	 0.570000
95300 	 441.434495 	 0.380640 	 0.450000
95400 	 441.571776 	 0.381020 	 0.590000
95500 	 441.548637 	 0.376440 	 0.460000
95600 	 441.157063 	 0.368860 	 0.460000
95700 	 441.099091 	 0.362100 	 0.460000
95800 	 441.150861 	 0.375500 	 0.530000
95900 	 440.870333 	 0.366640 	 0.540000
96000 	 440.851897 	 0.367840 	 0.520000
96100 	 440.945617 	 0.369380 	 0.550000
96200 	 440.742195 	 0.372400 	 0.480000
96300 	 440.778636 	 0.370620 	 0.430000
96400 	 440.692257 	 0.365380 	 0.420000
96500 	 440.602031 	 0.366680 	 0.430000
96600 	 440.637208 	 0.370240 	 0.370000
96700 	 440.556673 	 0.356240 	 0.430000
96800 	 440.533453 	 0.358160 	 0.500000
96900 	 440.634250 	 0.362840 	 0.500000
97000 	 440.602125 	 0.370480 	 0.460000
97100 	 440.661350 	 0.367400 	 0.510000
97200 	 440.628149 	 0.361460 	 0.430000
97300 	 440.346109 	 0.370180 	 0.450000
97400 	 440.333209 	 0.363880 	 0.480000
97500 	 440.361157 	 0.362000 	 0.460000
97600 	 440.322915 	 0.367440 	 0.440000
97700 	 440.349545 	 0.360900 	 0.420000
97800 	 440.322921 	 0.363700 	 0.430000
97900 	 440.176359 	 0.365260 	 0.480000
98000 	 440.087289 	 0.358800 	 0.470000
98100 	 440.130969 	 0.367760 	 0.430000
98200 	 440.084079 	 0.362700 	 0.430000
98300 	 440.140154 	 0.362340 	 0.410000
98400 	 440.190211 	 0.360480 	 0.500000
98500 	 440.084023 	 0.362920 	 0.500000
98600 	 440.135168 	 0.366260 	 0.450000
98700 	 440.303680 	 0.367220 	 0.400000
98800 	 440.270564 	 0.360200 	 0.470000
98900 	 440.256118 	 0.355460 	 0.450000
99000 	 440.323025 	 0.362500 	 0.460000
99100 	 440.452988 	 0.366580 	 0.580000
99200 	 440.553752 	 0.370020 	 0.350000
99300 	 440.457589 	 0.368100 	 0.390000
99400 	 440.460775 	 0.366160 	 0.510000
99500 	 440.406902 	 0.362520 	 0.540000
99600 	 440.363554 	 0.379280 	 0.390000
99700 	 440.429496 	 0.367140 	 0.490000
99800 	 440.343351 	 0.365080 	 0.500000
99900 	 440.396904 	 0.363580 	 0.510000
100000 	 440.435496 	 0.362880 	 0.600000
100100 	 440.394464 	 0.368940 	 0.370000
100200 	 440.472247 	 0.366180 	 0.530000
100300 	 440.524311 	 0.362280 	 0.440000
100400 	 440.584963 	 0.359860 	 0.480000
100500 	 440.546934 	 0.369160 	 0.450000
100600 	 440.464928 	 0.378800 	 0.490000
100700 	 440.490112 	 0.365120 	 0.440000
100800 	 440.581403 	 0.372440 	 0.340000
100900 	 440.655775 	 0.364680 	 0.430000
101000 	 440.649249 	 0.364320 	 0.540000
101100 	 440.849276 	 0.367540 	 0.630000
101200 	 440.861471 	 0.383800 	 0.500000
101300 	 440.766022 	 0.369000 	 0.560000
101400 	 440.712899 	 0.377380 	 0.480000
101500 	 440.619413 	 0.370400 	 0.600000
