#Step 	 Volume 	 Move-acceptance	 Volume-acceptance
110000 	 431.978590 	 0.442940 	 0.440000
110100 	 431.996388 	 0.449900 	 0.520000
110200 	 432.019312 	 0.445360 	 0.590000
110300 	 432.133254 	 0.442560 	 0.430000
110400 	 432.164356 	 0.441500 	 0.460000
110500 	 432.329769 	 0.448440 	 0.590000
110600 	 432.264532 	 0.434540 	 0.520000
110700 	 432.247402 	 0.440100 	 0.560000
110800 	 432.280963 	 0.437640 	 0.570000
110900 	 432.412080 	 0.444780 	 0.460000
111000 	 432.475470 	 0.456080 	 0.420000
111100 	 432.521036 	 0.455320 	 0.430000
111200 	 432.576141 	 0.453420 	 0.440000
111300 	 432.558792 	 0.454520 	 0.440000
111400 	 432.343931 	 0.454820 	 0.460000
111500 	 432.198504 	 0.453780 	 0.580000
111600 	 432.237576 	 0.446800 	 0.440000
111700 	 431.928458 	 0.448540 	 0.510000
111800 	 432.079232 	 0.443520 	 0.510000
111900 	 432.056549 	 0.439160 	 0.540000
112000 	 432.005906 	 0.444800 	 0.530000
112100 	 431.926113 	 0.446360 	 0.480000
112200 	 431.908885 	 0.432120 	 0.540000
112300 	 431.921427 	 0.442560 	 0.490000
112400 	 431.781214 	 0.443600 	 0.460000
112500 	 431.850000 	 0.435940 	 0.470000
112600 	 431.761587 	 0.444660 	 0.510000
112700 	 431.772152 	 0.442280 	 0.370000
112800 	 431.803990 	 0.447460 	 0.530000
112900 	 431.844429 	 0.439060 	 0.450000
113000 	 431.854600 	 0.443860 	 0.470000
113100 	 431.848611 	 0.453480 	 0.510000
113200 	 431.883739 	 0.446220 	 0.360000
113300 	 431.825351 	 0.440680 	 0.350000
113400 	 431.875488 	 0.438600 	 0.570000
113500 	 431.947935 	 0.441740 	 0.440000
113600 	 431.842535 	 0.439700 	 0.480000
113700 	 431.878809 	 0.439760 	 0.570000
113800 	 431.802043 	 0.449060 	 0.500000
113900 	 431.762597 	 0.437540 	 0.460000
114000 	 431.798611 	 0.443200 	 0.470000
114100 	 431.906750 	 0.447240 	 0.570000
114200 	 432.014833 	 0.439200 	 0.630000
114300 	 432.138839 	 0.445880 	 0.540000
114400 	 432.085391 	 0.445240 	 0.520000
114500 	 432.154785 	 0.435160 	 0.470000
114600 	 432.167302 	 0.451700 	 0.540000
114700 	 432.092800 	 0.453560 	 0.480000
114800 	 432.084388 	 0.449280 	 0.590000
114900 	 432.084728 	 0.455000 	 0.470000
115000 	 432.058848 	 0.439040 	 0.430000
115100 	 432.071769 	 0.451940 	 0.600000
115200 	 431.960345 	 0.448680 	 0.500000
115300 	 431.884200 	 0.441580 	 0.560000
115400 	 432.029894 	 0.446760 	 0.520000
115500 	 431.715293 	 0.451200 	 0.570000
115600 	 431.708144 	 0.438140 	 0.470000
115700 	 431.838889 	 0.431380 	 0.540000
115800 	 431.640458 	 0.433240 	 0.500000
115900 	 431.515046 	 0.437600 	 0.560000
116000 	 431.503394 	 0.433540 	 0.540000
116100 	 431.357193 	 0.439140 	 0.440000
116200 	 431.348511 	 0.437300 	 0.460000
116300 	 431.253073 	 0.431620 	 0.550000
116400 	 431.055466 	 0.436340 	 0.410000
116500 	 431.234688 	 0.432700 	 0.470000
116600 	 431.229947 	 0.432940 	 0.450000
116700 	 431.364857 	 0.432500 	 0.430000
116800 	 431.323097 	 0.433140 	 0.480000
116900 	 431.430957 	 0.434980 	 0.490000
117000 	 431.701241 	 0.433660 	 0.510000
117100 	 431.688429 	 0.430320 	 0.560000
117200 	 431.777110 	 0.441420 	 0.470000
117300 	 431.785722 	 0.439860 	 0.460000
117400 	 431.893014 	 0.447620 	 0.490000
117500 	 431.788443 	 0.445100 	 0.640000
117600 	 431.864675 	 0.446240 	 0.450000
117700 	 431.777562 	 0.435280 	 0.530000
117800 	 431.900317 	 0.451560 	 0.520000
117900 	 432.008486 	 0.440800 	 0.450000
118000 	 431.897920 	 0.440740 	 0.440000
118100 	 431.727385 	 0.441460 	 0.430000
118200 	 431.773166 	 0.445080 	 0.570000
118300 	 431.832584 	 0.439320 	 0.480000
118400 	 431.962353 	 0.438720 	 0.430000
118500 	 431.941790 	 0.445460 	 0.570000
118600 	 431.967216 	 0.435780 	 0.570000
118700 	 431.883922 	 0.442240 	 0.480000
118800 	 431.774648 	 0.435040 	 0.580000
118900 	 431.736924 	 0.441180 	 0.560000
119000 	 431.749799 	 0.423360 	 0.580000
119100 	 431.771767 	 0.446800 	 0.470000
119200 	 431.769376 	 0.436340 	 0.600000
119300 	 431.717074 	 0.442700 	 0.590000
119400 	 431.573489 	 0.435280 	 0.490000
119500 	 431.409231 	 0.443720 	 0.520000
119600 	 431.471172 	 0.441960 	 0.460000
119700 	 431.492525 	 0.435160 	 0.470000
119800 	 431.569725 	 0.443960 	 0.430000
119900 	 431.557960 	 0.438920 	 0.420000
120000 	 431.367067 	 0.439020 	 0.430000
120100 	 431.304152 	 0.432000 	 0.490000
120200 	 431.513991 	 0.438280 	 0.470000
120300 	 431.728499 	 0.438540 	 0.550000
120400 	 431.663698 	 0.439140 	 0.530000
120500 	 431.718370 	 0.433660 	 0.590000
120600 	 431.741501 	 0.442960 	 0.470000
120700 	 431.517574 	 0.438940 	 0.450000
120800 	 431.557317 	 0.438440 	 0.500000
120900 	 431.677522 	 0.442180 	 0.470000
121000 	 431.800999 	 0.439680 	 0.510000
121100 	 431.939409 	 0.432540 	 0.530000
121200 	 432.035421 	 0.445720 	 0.570000
121300 	 432.038934 	 0.453320 	 0.530000
121400 	 431.966932 	 0.433180 	 0.470000
121500 	 431.967903 	 0.447080 	 0.330000
121600 	 431.980450 	 0.449260 	 0.490000
121700 	 432.091548 	 0.449520 	 0.600000
121800 	 432.087852 	 0.444820 	 0.460000
121900 	 432.071242 	 0.441080 	 0.490000
122000 	 431.973287 	 0.440000 	 0.570000
122100 	 432.018710 	 0.450640 	 0.550000
122200 	 431.971226 	 0.439420 	 0.550000
122300 	 431.881387 	 0.445440 	 0.440000
122400 	 431.972766 	 0.443540 	 0.580000
122500 	 431.832765 	 0.438220 	 0.680000
122600 	 431.837691 	 0.434520 	 0.450000
122700 	 431.894981 	 0.439160 	 0.390000
122800 	 431.827586 	 0.448920 	 0.530000
