##Volume:	747.998251
#bin	r	gr
0 	 0.050000 	 0.000000
1 	 0.150000 	 0.000000
2 	 0.250000 	 0.000000
3 	 0.350000 	 0.000000
4 	 0.450000 	 0.000000
5 	 0.550000 	 0.000000
6 	 0.650000 	 0.000000
7 	 0.750000 	 0.000000
8 	 0.850000 	 0.000000
9 	 0.950000 	 0.000000
10 	 1.050000 	 2.496133
11 	 1.150000 	 1.773199
12 	 1.250000 	 1.337289
13 	 1.350000 	 1.064863
14 	 1.450000 	 0.906022
15 	 1.550000 	 0.826253
16 	 1.650000 	 0.802455
17 	 1.750000 	 0.837373
18 	 1.850000 	 0.909373
19 	 1.950000 	 1.009558
20 	 2.050000 	 1.103136
21 	 2.150000 	 1.106802
22 	 2.250000 	 1.068733
23 	 2.350000 	 1.021981
24 	 2.450000 	 0.984199
25 	 2.550000 	 0.963015
26 	 2.650000 	 0.960309
27 	 2.750000 	 0.968482
28 	 2.850000 	 0.987167
29 	 2.950000 	 1.004557
30 	 3.050000 	 1.017657
31 	 3.150000 	 1.020170
32 	 3.250000 	 1.014336
33 	 3.350000 	 1.005283
34 	 3.450000 	 0.997253
35 	 3.550000 	 0.990965
36 	 3.650000 	 0.989694
37 	 3.750000 	 0.994832
38 	 3.850000 	 0.997260
39 	 3.950000 	 1.000882
40 	 4.050000 	 1.003196
41 	 4.150000 	 1.004993
42 	 4.250000 	 1.003411
43 	 4.350000 	 1.000884
44 	 4.450000 	 0.999482
45 	 4.550000 	 0.985937
46 	 4.650000 	 0.925791
47 	 4.750000 	 0.864173
48 	 4.850000 	 0.807273
49 	 4.950000 	 0.750043
50 	 5.050000 	 0.696948
51 	 5.150000 	 0.644355
52 	 5.250000 	 0.594113
53 	 5.350000 	 0.545092
54 	 5.450000 	 0.498301
55 	 5.550000 	 0.453207
56 	 5.650000 	 0.409609
57 	 5.750000 	 0.367799
58 	 5.850000 	 0.327338
59 	 5.950000 	 0.288159
60 	 6.050000 	 0.250665
61 	 6.150000 	 0.214029
62 	 6.250000 	 0.178574
63 	 6.350000 	 0.144186
64 	 6.450000 	 0.112687
65 	 6.550000 	 0.089350
66 	 6.650000 	 0.070598
67 	 6.750000 	 0.055719
68 	 6.850000 	 0.043566
69 	 6.950000 	 0.033371
70 	 7.050000 	 0.025233
71 	 7.150000 	 0.018440
72 	 7.250000 	 0.013007
73 	 7.350000 	 0.008666
74 	 7.450000 	 0.005377
75 	 7.550000 	 0.002952
76 	 7.650000 	 0.001320
77 	 7.750000 	 0.000378
78 	 7.850000 	 0.000020
