#Time 	 PotE 	 KinE 	 TotE 	 kT 	 v0_v
 0.0000 	 -286.70 	 2584.37 	 2297.67 	 1.9941 	 0.000000
 0.0001 	 -286.70 	 2590.43 	 2303.74 	 1.9988 	 5.996370
 0.0002 	 -286.70 	 2592.24 	 2305.55 	 2.0002 	 5.918151
 0.0003 	 -286.70 	 2589.59 	 2302.89 	 1.9981 	 5.826077
 0.0004 	 -286.70 	 2582.77 	 2296.07 	 1.9929 	 5.772082
 0.0005 	 -286.70 	 2579.70 	 2293.01 	 1.9905 	 5.735118
 0.0006 	 -286.70 	 2559.33 	 2272.64 	 1.9748 	 5.639151
 0.0007 	 -286.70 	 2557.37 	 2270.67 	 1.9733 	 5.573083
 0.0008 	 -286.70 	 2569.36 	 2282.66 	 1.9825 	 5.529172
 0.0009 	 -286.70 	 2558.25 	 2271.55 	 1.9740 	 5.494677
 0.0010 	 -286.70 	 2534.50 	 2247.80 	 1.9556 	 5.428301
 0.0011 	 -286.70 	 2534.89 	 2248.18 	 1.9559 	 5.363797
 0.0012 	 -286.70 	 2528.17 	 2241.46 	 1.9507 	 5.273856
 0.0013 	 -286.71 	 2537.35 	 2250.65 	 1.9578 	 5.265482
 0.0014 	 -286.71 	 2521.37 	 2234.67 	 1.9455 	 5.204562
 0.0015 	 -286.71 	 2521.64 	 2234.93 	 1.9457 	 5.192883
 0.0016 	 -286.71 	 2530.29 	 2243.58 	 1.9524 	 5.132528
 0.0017 	 -286.71 	 2551.35 	 2264.64 	 1.9686 	 5.076935
 0.0018 	 -286.71 	 2550.82 	 2264.11 	 1.9682 	 5.031871
 0.0019 	 -286.72 	 2556.94 	 2270.23 	 1.9730 	 4.995531
 0.0020 	 -286.72 	 2567.50 	 2280.78 	 1.9811 	 4.933551
 0.0021 	 -286.72 	 2557.47 	 2270.75 	 1.9734 	 4.856815
 0.0022 	 -286.72 	 2554.43 	 2267.71 	 1.9710 	 4.798219
 0.0023 	 -286.72 	 2539.57 	 2252.85 	 1.9595 	 4.725160
 0.0024 	 -286.73 	 2534.14 	 2247.41 	 1.9554 	 4.717741
 0.0025 	 -286.73 	 2540.89 	 2254.16 	 1.9606 	 4.663548
 0.0026 	 -286.73 	 2546.89 	 2260.16 	 1.9652 	 4.599937
 0.0027 	 -286.73 	 2547.93 	 2261.19 	 1.9660 	 4.574241
 0.0028 	 -286.74 	 2553.22 	 2266.48 	 1.9701 	 4.528774
 0.0029 	 -286.74 	 2548.78 	 2262.04 	 1.9667 	 4.442967
 0.0030 	 -286.74 	 2547.38 	 2260.64 	 1.9656 	 4.425863
 0.0031 	 -286.74 	 2544.69 	 2257.94 	 1.9635 	 4.371683
 0.0032 	 -286.75 	 2548.72 	 2261.97 	 1.9666 	 4.330274
 0.0033 	 -286.75 	 2548.90 	 2262.15 	 1.9667 	 4.242014
 0.0034 	 -286.75 	 2572.42 	 2285.66 	 1.9849 	 4.228680
 0.0035 	 -286.76 	 2579.91 	 2293.16 	 1.9907 	 4.192825
 0.0036 	 -286.76 	 2573.84 	 2287.08 	 1.9860 	 4.176974
 0.0037 	 -286.76 	 2567.35 	 2280.58 	 1.9810 	 4.123783
 0.0038 	 -286.77 	 2578.44 	 2291.68 	 1.9895 	 4.079363
 0.0039 	 -286.77 	 2573.28 	 2286.51 	 1.9856 	 3.986151
 0.0040 	 -286.77 	 2568.82 	 2282.05 	 1.9821 	 3.958520
 0.0041 	 -286.78 	 2588.03 	 2301.26 	 1.9969 	 3.900982
 0.0042 	 -286.78 	 2585.06 	 2298.28 	 1.9946 	 3.899565
 0.0043 	 -286.79 	 2584.44 	 2297.66 	 1.9942 	 3.886964
 0.0044 	 -286.79 	 2581.85 	 2295.06 	 1.9922 	 3.873483
 0.0045 	 -286.79 	 2588.06 	 2301.27 	 1.9970 	 3.848611
 0.0046 	 -286.80 	 2591.55 	 2304.76 	 1.9997 	 3.806771
 0.0047 	 -286.80 	 2596.18 	 2309.38 	 2.0032 	 3.759010
 0.0048 	 -286.81 	 2605.17 	 2318.36 	 2.0102 	 3.733755
 0.0049 	 -286.81 	 2601.54 	 2314.73 	 2.0074 	 3.752402
 0.0050 	 -286.81 	 2609.61 	 2322.79 	 2.0136 	 3.697655
 0.0051 	 -286.82 	 2618.60 	 2331.78 	 2.0205 	 3.637566
 0.0052 	 -286.82 	 2603.66 	 2316.84 	 2.0090 	 3.580283
 0.0053 	 -286.83 	 2619.76 	 2332.94 	 2.0214 	 3.558425
 0.0054 	 -286.83 	 2609.06 	 2322.23 	 2.0132 	 3.505737
 0.0055 	 -286.84 	 2589.59 	 2302.76 	 1.9981 	 3.477540
 0.0056 	 -286.84 	 2579.73 	 2292.89 	 1.9905 	 3.476914
 0.0057 	 -286.85 	 2585.09 	 2298.24 	 1.9947 	 3.446892
 0.0058 	 -286.85 	 2598.84 	 2311.99 	 2.0053 	 3.400489
 0.0059 	 -286.86 	 2600.75 	 2313.90 	 2.0068 	 3.365757
 0.0060 	 -286.86 	 2602.30 	 2315.44 	 2.0079 	 3.284035
 0.0061 	 -286.87 	 2604.19 	 2317.32 	 2.0094 	 3.271791
 0.0062 	 -286.87 	 2607.30 	 2320.43 	 2.0118 	 3.189682
 0.0063 	 -286.88 	 2618.60 	 2331.72 	 2.0205 	 3.144277
 0.0064 	 -286.88 	 2615.41 	 2328.53 	 2.0181 	 3.140526
 0.0065 	 -286.89 	 2615.79 	 2328.90 	 2.0184 	 3.078607
 0.0066 	 -286.89 	 2623.03 	 2336.14 	 2.0239 	 3.038456
