#Time 	 PotE 	 kT 	 vx 	 vy 	 vz
Time = 0.0250 	 PotE = -5603.86 	 kT = 1.9960 	 vx = -0.027545 	 vy = 0.009459 	 vz = 0.013524
Time = 0.0300 	 PotE = -5493.34 	 kT = 1.9278 	 vx = -0.064477 	 vy = 0.009150 	 vz = -0.024607
Time = 0.0350 	 PotE = -5404.62 	 kT = 1.9325 	 vx = -0.030920 	 vy = 0.044667 	 vz = -0.068824
Time = 0.0400 	 PotE = -5328.90 	 kT = 1.8659 	 vx = -0.055636 	 vy = 0.053326 	 vz = 0.006534
Time = 0.0450 	 PotE = -5269.84 	 kT = 1.8712 	 vx = -0.066615 	 vy = 0.038609 	 vz = 0.018539
Time = 0.0500 	 PotE = -5210.90 	 kT = 1.8389 	 vx = -0.060628 	 vy = -0.022812 	 vz = 0.017569
Time = 0.0550 	 PotE = -5164.48 	 kT = 1.8565 	 vx = -0.095903 	 vy = 0.023714 	 vz = -0.007596
Time = 0.0600 	 PotE = -5121.85 	 kT = 1.8557 	 vx = -0.067839 	 vy = 0.084362 	 vz = 0.041276
Time = 0.0650 	 PotE = -5081.51 	 kT = 1.8083 	 vx = -0.063870 	 vy = 0.052713 	 vz = 0.012910
Time = 0.0700 	 PotE = -5053.77 	 kT = 1.9073 	 vx = -0.041739 	 vy = 0.017689 	 vz = 0.019357
Time = 0.0750 	 PotE = -5021.09 	 kT = 1.9257 	 vx = 0.025814 	 vy = 0.010626 	 vz = 0.013865
Time = 0.0800 	 PotE = -4989.91 	 kT = 1.9051 	 vx = -0.089447 	 vy = 0.020552 	 vz = 0.006640
Time = 0.0850 	 PotE = -4971.61 	 kT = 1.9838 	 vx = -0.004932 	 vy = 0.038875 	 vz = -0.039125
Time = 0.0900 	 PotE = -4945.18 	 kT = 2.0021 	 vx = -0.024478 	 vy = -0.055483 	 vz = -0.048230
Time = 0.0950 	 PotE = -4910.71 	 kT = 2.0016 	 vx = -0.046051 	 vy = 0.003852 	 vz = -0.045929
Time = 0.1000 	 PotE = -4877.67 	 kT = 1.9728 	 vx = 0.033083 	 vy = 0.002114 	 vz = -0.060625
Time = 0.1050 	 PotE = -4842.23 	 kT = 1.8985 	 vx = 0.000063 	 vy = -0.010880 	 vz = -0.024994
Time = 0.1100 	 PotE = -4820.25 	 kT = 1.9045 	 vx = 0.065922 	 vy = -0.027129 	 vz = -0.025575
Time = 0.1150 	 PotE = -4794.21 	 kT = 1.9949 	 vx = 0.071163 	 vy = 0.001712 	 vz = -0.020672
Time = 0.1200 	 PotE = -4772.27 	 kT = 1.9523 	 vx = 0.084258 	 vy = -0.000545 	 vz = -0.035698
Time = 0.1250 	 PotE = -4736.70 	 kT = 1.9688 	 vx = 0.049251 	 vy = -0.020498 	 vz = -0.055519
Time = 0.1300 	 PotE = -4709.68 	 kT = 1.9706 	 vx = 0.013147 	 vy = 0.006165 	 vz = -0.024104
Time = 0.1350 	 PotE = -4691.13 	 kT = 1.9143 	 vx = 0.014703 	 vy = -0.008669 	 vz = 0.039580
