#Step 	 Volume 	 Move-acceptance	 Volume-acceptance
60000 	 856.651816 	 0.592720 	 0.470000
60100 	 858.383831 	 0.584080 	 0.650000
60200 	 858.351866 	 0.598580 	 0.470000
60300 	 856.884859 	 0.597600 	 0.560000
60400 	 856.311482 	 0.589140 	 0.510000
60500 	 856.112217 	 0.587860 	 0.530000
60600 	 853.043049 	 0.590800 	 0.430000
60700 	 854.449837 	 0.600840 	 0.540000
60800 	 854.211781 	 0.587420 	 0.460000
60900 	 856.378724 	 0.594240 	 0.450000
61000 	 856.244638 	 0.587580 	 0.480000
61100 	 856.908440 	 0.593960 	 0.500000
61200 	 854.906071 	 0.593040 	 0.510000
61300 	 852.143466 	 0.592420 	 0.450000
61400 	 856.463013 	 0.598220 	 0.560000
61500 	 856.043580 	 0.597020 	 0.440000
61600 	 860.206895 	 0.609960 	 0.520000
61700 	 862.722032 	 0.596960 	 0.460000
61800 	 865.587885 	 0.599540 	 0.450000
61900 	 859.138582 	 0.595520 	 0.490000
62000 	 860.389921 	 0.603700 	 0.490000
62100 	 859.467936 	 0.600880 	 0.420000
62200 	 856.366867 	 0.601780 	 0.500000
62300 	 862.684345 	 0.592700 	 0.500000
62400 	 864.678817 	 0.599980 	 0.560000
62500 	 864.240833 	 0.603560 	 0.520000
62600 	 864.649575 	 0.603960 	 0.390000
62700 	 868.773675 	 0.602340 	 0.520000
62800 	 868.278234 	 0.601920 	 0.550000
62900 	 866.959496 	 0.610700 	 0.520000
63000 	 864.754702 	 0.597660 	 0.500000
63100 	 859.551857 	 0.595680 	 0.540000
63200 	 857.794765 	 0.603500 	 0.470000
63300 	 856.216991 	 0.596320 	 0.430000
63400 	 856.452464 	 0.591320 	 0.560000
63500 	 858.827582 	 0.601500 	 0.410000
63600 	 853.681438 	 0.590900 	 0.440000
63700 	 853.685334 	 0.595700 	 0.470000
63800 	 855.792808 	 0.591880 	 0.470000
63900 	 857.515697 	 0.601720 	 0.570000
64000 	 857.079466 	 0.591740 	 0.490000
64100 	 857.739868 	 0.595380 	 0.530000
64200 	 856.840083 	 0.597440 	 0.510000
64300 	 855.457395 	 0.591520 	 0.580000
64400 	 855.354892 	 0.586520 	 0.540000
64500 	 858.184547 	 0.592340 	 0.450000
64600 	 856.240884 	 0.595020 	 0.480000
64700 	 848.747476 	 0.599520 	 0.610000
64800 	 848.661257 	 0.592840 	 0.520000
64900 	 846.582862 	 0.580520 	 0.510000
65000 	 846.688519 	 0.580680 	 0.400000
65100 	 845.341886 	 0.595080 	 0.410000
65200 	 848.186240 	 0.588720 	 0.600000
65300 	 847.371755 	 0.584260 	 0.490000
65400 	 850.335377 	 0.580880 	 0.450000
65500 	 847.238567 	 0.586760 	 0.460000
65600 	 845.242183 	 0.586960 	 0.540000
65700 	 846.677560 	 0.589800 	 0.470000
65800 	 849.394448 	 0.583060 	 0.410000
65900 	 849.321107 	 0.584160 	 0.510000
66000 	 851.507248 	 0.587040 	 0.570000
66100 	 849.204205 	 0.587020 	 0.440000
66200 	 848.624243 	 0.576840 	 0.450000
66300 	 848.366601 	 0.580000 	 0.450000
66400 	 849.295244 	 0.590440 	 0.420000
66500 	 851.267838 	 0.583520 	 0.480000
66600 	 845.830207 	 0.587920 	 0.530000
66700 	 845.593462 	 0.584000 	 0.490000
66800 	 842.125101 	 0.579060 	 0.390000
66900 	 841.607949 	 0.581520 	 0.500000
67000 	 839.252403 	 0.586400 	 0.410000
67100 	 841.001946 	 0.582240 	 0.510000
67200 	 832.643108 	 0.583360 	 0.490000
67300 	 827.932609 	 0.568380 	 0.430000
67400 	 831.497210 	 0.574460 	 0.430000
67500 	 832.990086 	 0.582420 	 0.480000
67600 	 831.933656 	 0.569140 	 0.490000
67700 	 835.771445 	 0.567580 	 0.520000
67800 	 834.930422 	 0.576720 	 0.500000
67900 	 835.267500 	 0.574740 	 0.470000
68000 	 836.668979 	 0.575160 	 0.420000
68100 	 833.564139 	 0.575440 	 0.550000
68200 	 834.525635 	 0.576940 	 0.440000
68300 	 831.698726 	 0.568700 	 0.440000
68400 	 831.861539 	 0.581300 	 0.550000
68500 	 833.531160 	 0.574180 	 0.390000
68600 	 835.849748 	 0.579920 	 0.470000
68700 	 834.339912 	 0.572940 	 0.480000
68800 	 838.494198 	 0.581420 	 0.490000
68900 	 840.748357 	 0.584840 	 0.480000
69000 	 841.856434 	 0.580560 	 0.430000
69100 	 839.619753 	 0.583900 	 0.540000
69200 	 835.749798 	 0.579220 	 0.440000
69300 	 837.305301 	 0.584780 	 0.530000
69400 	 835.909873 	 0.574160 	 0.420000
69500 	 837.842124 	 0.583520 	 0.550000
69600 	 839.409807 	 0.594040 	 0.390000
69700 	 836.062589 	 0.578300 	 0.430000
69800 	 838.995723 	 0.575480 	 0.410000
69900 	 838.005016 	 0.587360 	 0.540000
70000 	 836.893919 	 0.568540 	 0.440000
70100 	 838.315206 	 0.583340 	 0.500000
70200 	 836.634913 	 0.584460 	 0.540000
70300 	 836.154691 	 0.574360 	 0.440000
70400 	 832.213548 	 0.578120 	 0.540000
70500 	 829.008978 	 0.567520 	 0.540000
70600 	 827.436100 	 0.569600 	 0.500000
70700 	 823.959114 	 0.572740 	 0.480000
70800 	 825.297355 	 0.570260 	 0.530000
70900 	 822.615682 	 0.565760 	 0.480000
71000 	 824.275236 	 0.574120 	 0.370000
71100 	 822.308731 	 0.561500 	 0.550000
71200 	 817.836380 	 0.569480 	 0.530000
71300 	 821.196441 	 0.563420 	 0.470000
71400 	 821.517123 	 0.576100 	 0.370000
71500 	 825.448632 	 0.569940 	 0.540000
71600 	 827.763718 	 0.563240 	 0.370000
71700 	 828.286217 	 0.563660 	 0.540000
71800 	 830.617420 	 0.570740 	 0.470000
71900 	 829.389077 	 0.571140 	 0.480000
72000 	 824.891436 	 0.571680 	 0.450000
72100 	 827.361579 	 0.569620 	 0.480000
72200 	 832.032851 	 0.577060 	 0.370000
72300 	 834.106977 	 0.578680 	 0.540000
72400 	 833.265646 	 0.576980 	 0.560000
72500 	 831.677953 	 0.569520 	 0.400000
72600 	 830.159428 	 0.581740 	 0.540000
72700 	 826.407119 	 0.559420 	 0.510000
72800 	 826.464035 	 0.560080 	 0.520000
72900 	 827.745098 	 0.585180 	 0.520000
73000 	 828.819751 	 0.573240 	 0.500000
73100 	 827.086777 	 0.572360 	 0.470000
73200 	 827.564368 	 0.573620 	 0.520000
73300 	 829.104057 	 0.579580 	 0.550000
73400 	 827.220280 	 0.568220 	 0.440000
73500 	 831.611274 	 0.566880 	 0.420000
73600 	 833.927714 	 0.580760 	 0.450000
73700 	 835.550189 	 0.569520 	 0.490000
73800 	 841.265926 	 0.582900 	 0.420000
73900 	 836.569337 	 0.573760 	 0.490000
74000 	 837.043130 	 0.585600 	 0.490000
74100 	 839.262577 	 0.580120 	 0.450000
74200 	 840.708404 	 0.580540 	 0.520000
74300 	 840.715206 	 0.576300 	 0.560000
74400 	 841.273112 	 0.580340 	 0.540000
74500 	 841.173337 	 0.581680 	 0.510000
74600 	 838.423063 	 0.588240 	 0.600000
74700 	 838.383718 	 0.571720 	 0.580000
74800 	 837.983555 	 0.584600 	 0.340000
74900 	 836.175855 	 0.581000 	 0.520000
75000 	 834.936662 	 0.566720 	 0.620000
75100 	 832.326811 	 0.577400 	 0.570000
75200 	 831.079302 	 0.576800 	 0.450000
75300 	 835.646223 	 0.574180 	 0.510000
75400 	 839.755525 	 0.577520 	 0.500000
75500 	 840.681422 	 0.575420 	 0.590000
75600 	 843.500190 	 0.587740 	 0.610000
75700 	 845.121682 	 0.591740 	 0.590000
75800 	 844.398266 	 0.590900 	 0.560000
75900 	 840.637817 	 0.573800 	 0.580000
76000 	 838.653564 	 0.573240 	 0.550000
76100 	 837.968457 	 0.578680 	 0.540000
76200 	 839.881713 	 0.586360 	 0.620000
76300 	 837.730228 	 0.578260 	 0.530000
76400 	 839.644178 	 0.584660 	 0.610000
76500 	 840.833120 	 0.588100 	 0.630000
76600 	 839.799878 	 0.592300 	 0.520000
76700 	 840.898801 	 0.591460 	 0.590000
76800 	 842.552246 	 0.583720 	 0.450000
76900 	 849.358747 	 0.587660 	 0.540000
77000 	 849.812343 	 0.589100 	 0.640000
77100 	 851.156460 	 0.582960 	 0.510000
77200 	 848.637740 	 0.588780 	 0.500000
77300 	 854.556800 	 0.602660 	 0.580000
77400 	 858.267960 	 0.588960 	 0.540000
77500 	 856.089727 	 0.598920 	 0.540000
77600 	 856.126964 	 0.589260 	 0.630000
77700 	 858.768803 	 0.592420 	 0.510000
77800 	 857.269038 	 0.591980 	 0.500000
77900 	 854.328916 	 0.586220 	 0.600000
78000 	 850.752322 	 0.588600 	 0.610000
78100 	 847.835397 	 0.591200 	 0.530000
78200 	 848.109434 	 0.593340 	 0.580000
78300 	 849.265109 	 0.584740 	 0.530000
78400 	 851.254085 	 0.577560 	 0.630000
78500 	 854.070645 	 0.585420 	 0.530000
78600 	 853.390985 	 0.594380 	 0.620000
78700 	 851.124753 	 0.584980 	 0.540000
78800 	 852.610284 	 0.592400 	 0.570000
78900 	 850.217231 	 0.595820 	 0.500000
79000 	 852.840741 	 0.587580 	 0.500000
79100 	 851.514153 	 0.588680 	 0.520000
79200 	 852.129000 	 0.589900 	 0.590000
79300 	 854.807047 	 0.589000 	 0.590000
79400 	 856.081994 	 0.597600 	 0.560000
79500 	 857.703943 	 0.589460 	 0.570000
79600 	 858.416475 	 0.591540 	 0.610000
79700 	 854.476656 	 0.597860 	 0.550000
79800 	 855.596045 	 0.579940 	 0.520000
79900 	 853.833398 	 0.597040 	 0.550000
80000 	 855.938712 	 0.592340 	 0.530000
80100 	 856.250972 	 0.583780 	 0.600000
80200 	 854.432201 	 0.596340 	 0.600000
80300 	 854.770675 	 0.598180 	 0.480000
80400 	 856.288346 	 0.592300 	 0.490000
80500 	 854.929282 	 0.595780 	 0.550000
80600 	 857.190229 	 0.593640 	 0.570000
80700 	 855.168430 	 0.591640 	 0.510000
80800 	 854.954079 	 0.594640 	 0.520000
80900 	 851.768846 	 0.592680 	 0.650000
