#Step 	 Volume 	 Move-acceptance	 Volume-acceptance
100000 	 442.924573 	 0.392860 	 0.470000
100100 	 442.999039 	 0.394100 	 0.410000
100200 	 442.945784 	 0.393020 	 0.520000
100300 	 442.828405 	 0.387200 	 0.480000
100400 	 442.761709 	 0.394980 	 0.460000
100500 	 442.802916 	 0.387700 	 0.420000
100600 	 442.984814 	 0.397280 	 0.460000
100700 	 443.207583 	 0.391540 	 0.480000
100800 	 443.384959 	 0.387520 	 0.550000
100900 	 443.207846 	 0.392800 	 0.470000
101000 	 443.296264 	 0.394880 	 0.500000
101100 	 443.252276 	 0.406440 	 0.380000
101200 	 443.151436 	 0.392720 	 0.480000
101300 	 443.367416 	 0.401260 	 0.480000
101400 	 443.249455 	 0.395480 	 0.490000
101500 	 443.169011 	 0.403800 	 0.470000
101600 	 443.188537 	 0.401660 	 0.520000
101700 	 443.032808 	 0.399380 	 0.530000
101800 	 442.894382 	 0.385400 	 0.450000
101900 	 442.841110 	 0.387500 	 0.500000
102000 	 442.839456 	 0.381260 	 0.560000
102100 	 442.648177 	 0.386780 	 0.440000
102200 	 442.617800 	 0.379220 	 0.430000
102300 	 442.708552 	 0.393560 	 0.390000
102400 	 442.735545 	 0.393820 	 0.540000
102500 	 442.699681 	 0.386760 	 0.450000
102600 	 442.834198 	 0.395500 	 0.510000
102700 	 442.846466 	 0.393180 	 0.310000
102800 	 442.919998 	 0.393920 	 0.470000
102900 	 442.984200 	 0.400600 	 0.480000
103000 	 442.950315 	 0.389040 	 0.510000
103100 	 442.971554 	 0.398560 	 0.560000
103200 	 442.926144 	 0.399360 	 0.510000
103300 	 443.006130 	 0.392180 	 0.550000
103400 	 443.096542 	 0.387620 	 0.550000
103500 	 442.956354 	 0.397800 	 0.560000
103600 	 442.893386 	 0.396740 	 0.440000
103700 	 443.031054 	 0.388720 	 0.520000
103800 	 443.120541 	 0.386360 	 0.530000
103900 	 443.117049 	 0.399180 	 0.480000
104000 	 443.224178 	 0.391120 	 0.480000
104100 	 443.380988 	 0.398780 	 0.490000
104200 	 443.407879 	 0.409240 	 0.550000
