#Step 	 Volume 	 Move-acceptance	 Volume-acceptance
70000 	 394.899311 	 0.582840 	 0.450000
70100 	 394.797113 	 0.572520 	 0.550000
70200 	 394.779919 	 0.582320 	 0.420000
70300 	 394.533027 	 0.583260 	 0.500000
70400 	 394.405110 	 0.583520 	 0.570000
70500 	 394.460075 	 0.572020 	 0.570000
70600 	 394.611480 	 0.579960 	 0.470000
70700 	 394.686266 	 0.576740 	 0.610000
70800 	 394.654355 	 0.571840 	 0.560000
70900 	 394.517428 	 0.588500 	 0.500000
71000 	 394.333042 	 0.582480 	 0.540000
71100 	 394.333945 	 0.575980 	 0.520000
71200 	 394.293519 	 0.578440 	 0.520000
71300 	 394.189156 	 0.569400 	 0.500000
71400 	 394.156927 	 0.579880 	 0.560000
71500 	 394.272635 	 0.584140 	 0.550000
71600 	 394.346368 	 0.579380 	 0.470000
71700 	 394.502300 	 0.580900 	 0.620000
71800 	 394.430055 	 0.575060 	 0.420000
71900 	 394.478701 	 0.578360 	 0.510000
72000 	 394.549877 	 0.578220 	 0.520000
72100 	 394.591062 	 0.591820 	 0.530000
72200 	 394.712720 	 0.581340 	 0.480000
72300 	 394.791680 	 0.577800 	 0.440000
72400 	 394.863155 	 0.571160 	 0.480000
72500 	 395.017035 	 0.574700 	 0.480000
72600 	 395.141839 	 0.584720 	 0.560000
72700 	 395.500639 	 0.594820 	 0.610000
72800 	 395.415425 	 0.586600 	 0.480000
72900 	 395.544388 	 0.593940 	 0.570000
73000 	 395.824804 	 0.597880 	 0.680000
73100 	 395.721300 	 0.586160 	 0.370000
73200 	 395.739916 	 0.589540 	 0.500000
73300 	 395.669690 	 0.593400 	 0.620000
73400 	 395.804408 	 0.588120 	 0.370000
73500 	 395.984593 	 0.584300 	 0.440000
73600 	 395.663477 	 0.595740 	 0.540000
73700 	 395.728806 	 0.587260 	 0.520000
73800 	 395.914806 	 0.586640 	 0.460000
73900 	 395.779902 	 0.596180 	 0.410000
74000 	 395.647786 	 0.597900 	 0.370000
74100 	 395.495164 	 0.591140 	 0.520000
74200 	 395.511447 	 0.579780 	 0.450000
74300 	 395.233758 	 0.576460 	 0.580000
74400 	 395.291522 	 0.601720 	 0.530000
74500 	 395.439435 	 0.587520 	 0.480000
74600 	 395.680729 	 0.584940 	 0.400000
74700 	 395.739051 	 0.583520 	 0.560000
74800 	 395.678257 	 0.584960 	 0.500000
74900 	 395.946655 	 0.597300 	 0.410000
75000 	 395.833598 	 0.581780 	 0.490000
75100 	 395.791948 	 0.582980 	 0.560000
75200 	 395.587624 	 0.579420 	 0.410000
75300 	 395.620790 	 0.584480 	 0.330000
75400 	 395.730551 	 0.587920 	 0.620000
75500 	 395.664915 	 0.583820 	 0.480000
75600 	 395.780238 	 0.584580 	 0.530000
75700 	 395.656568 	 0.588480 	 0.550000
75800 	 395.759953 	 0.589440 	 0.460000
75900 	 395.638148 	 0.577080 	 0.620000
76000 	 395.851277 	 0.583260 	 0.600000
76100 	 395.643355 	 0.593140 	 0.550000
76200 	 395.589034 	 0.586500 	 0.470000
