#Step 	 Volume 	 Move-acceptance	 Volume-acceptance
60000 	 381.541775 	 0.589220 	 0.430000
60100 	 381.548188 	 0.596480 	 0.490000
60200 	 381.767857 	 0.592000 	 0.550000
60300 	 381.861592 	 0.598220 	 0.520000
60400 	 381.933787 	 0.595940 	 0.480000
60500 	 381.925888 	 0.602700 	 0.460000
60600 	 381.953241 	 0.599340 	 0.570000
60700 	 381.980504 	 0.594120 	 0.510000
60800 	 381.873778 	 0.604240 	 0.420000
60900 	 381.948406 	 0.602840 	 0.570000
61000 	 381.951114 	 0.606920 	 0.470000
61100 	 382.038931 	 0.590100 	 0.490000
61200 	 382.070178 	 0.598940 	 0.520000
61300 	 382.138959 	 0.595380 	 0.500000
61400 	 382.079741 	 0.585580 	 0.470000
61500 	 382.076238 	 0.590460 	 0.460000
61600 	 382.100948 	 0.585240 	 0.500000
61700 	 382.207482 	 0.598740 	 0.580000
61800 	 382.223061 	 0.594920 	 0.540000
61900 	 382.180433 	 0.598920 	 0.490000
62000 	 382.097680 	 0.594580 	 0.380000
62100 	 382.034711 	 0.588440 	 0.520000
62200 	 381.990496 	 0.598200 	 0.450000
62300 	 381.952117 	 0.588620 	 0.520000
62400 	 381.834555 	 0.597520 	 0.480000
62500 	 381.911481 	 0.599880 	 0.450000
62600 	 381.849975 	 0.601040 	 0.460000
62700 	 381.799100 	 0.595040 	 0.570000
62800 	 381.761659 	 0.595880 	 0.510000
62900 	 381.770053 	 0.602600 	 0.530000
63000 	 381.910080 	 0.597600 	 0.520000
63100 	 381.895828 	 0.595720 	 0.490000
63200 	 381.936715 	 0.601220 	 0.530000
63300 	 382.041752 	 0.594180 	 0.440000
63400 	 382.116429 	 0.599300 	 0.450000
63500 	 382.024357 	 0.596100 	 0.510000
63600 	 381.971154 	 0.594900 	 0.530000
63700 	 381.896674 	 0.588380 	 0.500000
63800 	 381.775925 	 0.601380 	 0.490000
63900 	 381.724909 	 0.586440 	 0.430000
64000 	 381.693676 	 0.596860 	 0.470000
64100 	 381.798252 	 0.605760 	 0.510000
64200 	 381.597546 	 0.594960 	 0.460000
64300 	 381.615512 	 0.599160 	 0.450000
64400 	 381.547953 	 0.595860 	 0.630000
64500 	 381.554591 	 0.589560 	 0.450000
64600 	 381.709360 	 0.587120 	 0.540000
64700 	 381.627910 	 0.595240 	 0.450000
64800 	 381.545771 	 0.604920 	 0.530000
64900 	 381.533616 	 0.594080 	 0.510000
65000 	 381.514542 	 0.590520 	 0.540000
65100 	 381.512465 	 0.594380 	 0.470000
65200 	 381.347844 	 0.589860 	 0.470000
65300 	 381.516138 	 0.575160 	 0.550000
65400 	 381.483244 	 0.585220 	 0.460000
65500 	 381.465130 	 0.594080 	 0.460000
65600 	 381.536198 	 0.593380 	 0.490000
65700 	 381.646484 	 0.593300 	 0.520000
65800 	 381.743655 	 0.602120 	 0.550000
65900 	 381.708649 	 0.592560 	 0.520000
66000 	 381.823401 	 0.596220 	 0.500000
66100 	 381.795056 	 0.600880 	 0.420000
66200 	 381.684289 	 0.589860 	 0.520000
66300 	 381.665510 	 0.590080 	 0.500000
66400 	 381.553764 	 0.598880 	 0.530000
66500 	 381.744152 	 0.587180 	 0.440000
66600 	 381.674598 	 0.597360 	 0.400000
