#Step 	 Volume 	 Move-acceptance	 Volume-acceptance
120000 	 431.806831 	 0.394020 	 0.590000
120100 	 431.605173 	 0.393580 	 0.500000
120200 	 431.511125 	 0.395200 	 0.470000
120300 	 431.538299 	 0.390700 	 0.450000
120400 	 431.513637 	 0.392620 	 0.400000
120500 	 431.708459 	 0.389360 	 0.570000
120600 	 431.928970 	 0.390640 	 0.460000
120700 	 431.922907 	 0.391340 	 0.510000
120800 	 431.846514 	 0.384280 	 0.540000
120900 	 431.755508 	 0.394380 	 0.600000
121000 	 431.716263 	 0.393620 	 0.460000
121100 	 431.880872 	 0.398000 	 0.460000
121200 	 431.909417 	 0.402080 	 0.550000
121300 	 431.948538 	 0.398880 	 0.570000
121400 	 431.994728 	 0.399580 	 0.570000
121500 	 432.037941 	 0.401260 	 0.380000
121600 	 431.785083 	 0.399000 	 0.580000
121700 	 431.753728 	 0.399980 	 0.450000
121800 	 431.862173 	 0.395700 	 0.530000
121900 	 431.789334 	 0.403600 	 0.450000
122000 	 431.812917 	 0.391860 	 0.510000
122100 	 431.985453 	 0.387440 	 0.530000
122200 	 431.962610 	 0.391220 	 0.480000
122300 	 431.782102 	 0.402500 	 0.510000
122400 	 431.727396 	 0.386140 	 0.440000
122500 	 431.639726 	 0.377660 	 0.460000
122600 	 431.692214 	 0.391420 	 0.420000
122700 	 431.703690 	 0.397280 	 0.440000
122800 	 431.555199 	 0.390380 	 0.550000
122900 	 431.551745 	 0.401720 	 0.460000
123000 	 431.503866 	 0.397360 	 0.580000
123100 	 431.517046 	 0.391940 	 0.480000
123200 	 431.517875 	 0.381780 	 0.400000
123300 	 431.483030 	 0.405360 	 0.570000
123400 	 431.346598 	 0.398760 	 0.520000
123500 	 431.347883 	 0.384200 	 0.430000
123600 	 431.439647 	 0.384080 	 0.410000
123700 	 431.389566 	 0.383960 	 0.390000
123800 	 431.503600 	 0.391680 	 0.460000
123900 	 431.616605 	 0.394280 	 0.440000
124000 	 431.503581 	 0.392620 	 0.530000
124100 	 431.529498 	 0.395180 	 0.510000
124200 	 431.443028 	 0.399040 	 0.570000
124300 	 431.452452 	 0.394620 	 0.470000
124400 	 431.431396 	 0.399780 	 0.520000
124500 	 431.400320 	 0.400600 	 0.460000
124600 	 431.529065 	 0.395400 	 0.570000
124700 	 431.501160 	 0.398440 	 0.420000
124800 	 431.388032 	 0.395140 	 0.500000
124900 	 431.334120 	 0.401300 	 0.460000
125000 	 431.245441 	 0.397760 	 0.330000
125100 	 431.353369 	 0.401720 	 0.460000
125200 	 431.372712 	 0.382340 	 0.490000
125300 	 431.271225 	 0.395380 	 0.590000
125400 	 431.373372 	 0.384920 	 0.610000
125500 	 431.384924 	 0.382920 	 0.500000
125600 	 431.390766 	 0.386560 	 0.590000
125700 	 431.437804 	 0.393340 	 0.610000
125800 	 431.647573 	 0.389260 	 0.640000
125900 	 431.733466 	 0.396460 	 0.520000
126000 	 431.581555 	 0.387720 	 0.610000
126100 	 431.365707 	 0.390380 	 0.610000
126200 	 431.357748 	 0.379200 	 0.600000
126300 	 431.294272 	 0.390540 	 0.550000
126400 	 431.404289 	 0.402860 	 0.620000
126500 	 431.380809 	 0.401000 	 0.580000
126600 	 431.498494 	 0.392820 	 0.470000
126700 	 431.526060 	 0.393160 	 0.560000
126800 	 431.459248 	 0.399120 	 0.500000
126900 	 431.533190 	 0.395720 	 0.500000
127000 	 431.506969 	 0.384980 	 0.520000
127100 	 431.478936 	 0.388280 	 0.620000
127200 	 431.501507 	 0.386560 	 0.590000
