##Volume:	1308.996939
#bin	r	gr
0 	 0.150000 	 0.000000
1 	 0.450000 	 0.000000
2 	 0.750000 	 0.000000
3 	 1.050000 	 1.099349
4 	 1.350000 	 1.146782
5 	 1.650000 	 0.974461
6 	 1.950000 	 0.971201
7 	 2.250000 	 1.003671
8 	 2.550000 	 1.012715
9 	 2.850000 	 0.994260
10 	 3.150000 	 0.999077
11 	 3.450000 	 1.001283
12 	 3.750000 	 0.999052
13 	 4.050000 	 1.002116
14 	 4.350000 	 0.993837
15 	 4.650000 	 0.996879
16 	 4.950000 	 0.998810
17 	 5.250000 	 1.003557
18 	 5.550000 	 0.950738
19 	 5.850000 	 0.802131
20 	 6.150000 	 0.669685
21 	 6.450000 	 0.543546
22 	 6.750000 	 0.430437
23 	 7.050000 	 0.326069
24 	 7.350000 	 0.231826
25 	 7.650000 	 0.145438
26 	 7.950000 	 0.080451
27 	 8.250000 	 0.044897
28 	 8.550000 	 0.021927
29 	 8.850000 	 0.008993
30 	 9.150000 	 0.002269
31 	 9.450000 	 0.000115
