##Volume:	1308.996939
#bin	r	gr
0 	 0.050000 	 0.000000
1 	 0.150000 	 0.000000
2 	 0.250000 	 0.000000
3 	 0.350000 	 0.000000
4 	 0.450000 	 0.000000
5 	 0.550000 	 0.000000
6 	 0.650000 	 0.000000
7 	 0.750000 	 0.000000
8 	 0.850000 	 0.000000
9 	 0.950000 	 0.000000
10 	 1.050000 	 1.635967
11 	 1.150000 	 1.430101
12 	 1.250000 	 1.279776
13 	 1.350000 	 1.162340
14 	 1.450000 	 1.068621
15 	 1.550000 	 1.004216
16 	 1.650000 	 0.957901
17 	 1.750000 	 0.939325
18 	 1.850000 	 0.942011
19 	 1.950000 	 0.957717
20 	 2.050000 	 0.985654
21 	 2.150000 	 1.009582
22 	 2.250000 	 1.014970
23 	 2.350000 	 1.013193
24 	 2.450000 	 1.011355
25 	 2.550000 	 1.005205
26 	 2.650000 	 1.000038
27 	 2.750000 	 0.997179
28 	 2.850000 	 0.994561
29 	 2.950000 	 0.996440
30 	 3.050000 	 0.999043
31 	 3.150000 	 0.999436
32 	 3.250000 	 0.998059
33 	 3.350000 	 1.001194
34 	 3.450000 	 1.000511
35 	 3.550000 	 0.998711
36 	 3.650000 	 1.000460
37 	 3.750000 	 1.000352
38 	 3.850000 	 1.000488
39 	 3.950000 	 0.998051
40 	 4.050000 	 1.000008
41 	 4.150000 	 0.998371
42 	 4.250000 	 0.999223
43 	 4.350000 	 1.000026
44 	 4.450000 	 0.999906
45 	 4.550000 	 1.000572
46 	 4.650000 	 0.997463
47 	 4.750000 	 0.999679
48 	 4.850000 	 0.999712
49 	 4.950000 	 1.000018
50 	 5.050000 	 1.000162
51 	 5.150000 	 0.999918
52 	 5.250000 	 0.999879
53 	 5.350000 	 0.998562
54 	 5.450000 	 0.997189
55 	 5.550000 	 0.956714
56 	 5.650000 	 0.903671
57 	 5.750000 	 0.852843
58 	 5.850000 	 0.805175
59 	 5.950000 	 0.757315
60 	 6.050000 	 0.712258
61 	 6.150000 	 0.667264
62 	 6.250000 	 0.625063
63 	 6.350000 	 0.582990
64 	 6.450000 	 0.544462
65 	 6.550000 	 0.504787
66 	 6.650000 	 0.467004
67 	 6.750000 	 0.430400
68 	 6.850000 	 0.395224
69 	 6.950000 	 0.360633
70 	 7.050000 	 0.327446
71 	 7.150000 	 0.294735
72 	 7.250000 	 0.263215
73 	 7.350000 	 0.232125
74 	 7.450000 	 0.202825
75 	 7.550000 	 0.173425
76 	 7.650000 	 0.144823
77 	 7.750000 	 0.117880
78 	 7.850000 	 0.096645
79 	 7.950000 	 0.079723
80 	 8.050000 	 0.065642
81 	 8.150000 	 0.054031
82 	 8.250000 	 0.043942
83 	 8.350000 	 0.035345
84 	 8.450000 	 0.028058
85 	 8.550000 	 0.021896
86 	 8.650000 	 0.016792
87 	 8.750000 	 0.012464
88 	 8.850000 	 0.008846
89 	 8.950000 	 0.006024
90 	 9.050000 	 0.003851
91 	 9.150000 	 0.002146
92 	 9.250000 	 0.001023
93 	 9.350000 	 0.000306
94 	 9.450000 	 0.000027
